"호선","상/하행선","요일","전철역코드","외부코드","전철역명","첫차시간","첫차출발역코드","첫차도착역코드","첫차출발역명","첫차도착역명","막차시간","막차출발역코드","막차도착역코드","막차출발역명","막차도착역명"
"08호선","2","1","2811","810","암사","053000","2811","2827","암사","모란","244800","2811","2818","암사","가락시장"
"08호선","2","2","2811","810","암사","053000","2811","2827","암사","모란","235000","2811","2818","암사","가락시장"
"08호선","2","3","2811","810","암사","053000","2811","2827","암사","모란","235000","2811","2818","암사","가락시장"
"08호선","1","1","2812","811","천호","053620","2815","2811","잠실","암사","245900","2827","2811","모란","암사"
"08호선","1","2","2812","811","천호","053620","2815","2811","잠실","암사","240300","2827","2811","모란","암사"
"08호선","1","3","2812","811","천호","053620","2815","2811","잠실","암사","240300","2827","2811","모란","암사"
"08호선","2","1","2812","811","천호","053220","2811","2827","암사","모란","245010","2811","2818","암사","가락시장"
"08호선","2","2","2812","811","천호","053210","2811","2827","암사","모란","235210","2811","2818","암사","가락시장"
"08호선","2","3","2812","811","천호","053210","2811","2827","암사","모란","235210","2811","2818","암사","가락시장"
"08호선","1","1","2813","812","강동구청","053410","2815","2811","잠실","암사","245700","2827","2811","모란","암사"
"08호선","1","2","2813","812","강동구청","053420","2815","2811","잠실","암사","240100","2827","2811","모란","암사"
"08호선","1","3","2813","812","강동구청","053420","2815","2811","잠실","암사","240100","2827","2811","모란","암사"
"08호선","2","1","2813","812","강동구청","053410","2811","2827","암사","모란","245200","2811","2818","암사","가락시장"
"08호선","2","2","2813","812","강동구청","053400","2811","2827","암사","모란","235400","2811","2818","암사","가락시장"
"08호선","2","3","2813","812","강동구청","053400","2811","2827","암사","모란","235400","2811","2818","암사","가락시장"
"08호선","1","1","2814","813","몽촌토성","053140","2815","2811","잠실","암사","245430","2827","2811","모란","암사"
"08호선","1","2","2814","813","몽촌토성","053150","2815","2811","잠실","암사","235830","2827","2811","모란","암사"
"08호선","1","3","2814","813","몽촌토성","053150","2815","2811","잠실","암사","235830","2827","2811","모란","암사"
"08호선","2","1","2814","813","몽촌토성","053640","2811","2827","암사","모란","245430","2811","2818","암사","가락시장"
"08호선","2","2","2814","813","몽촌토성","053630","2811","2827","암사","모란","235630","2811","2818","암사","가락시장"
"08호선","2","3","2814","813","몽촌토성","053630","2811","2827","암사","모란","235630","2811","2818","암사","가락시장"
"08호선","1","1","2815","814","잠실","053000","2815","2811","잠실","암사","245250","2827","2811","모란","암사"
"08호선","1","2","2815","814","잠실","053000","2815","2811","잠실","암사","235650","2827","2811","모란","암사"
"08호선","1","3","2815","814","잠실","053000","2815","2811","잠실","암사","235650","2827","2811","모란","암사"
"08호선","2","1","2815","814","잠실","053830","2811","2827","암사","모란","245620","2811","2818","암사","가락시장"
"08호선","2","2","2815","814","잠실","053820","2811","2827","암사","모란","235820","2811","2818","암사","가락시장"
"08호선","2","3","2815","814","잠실","053820","2811","2827","암사","모란","235820","2811","2818","암사","가락시장"
"08호선","1","1","2816","815","석촌","054020","2818","2811","가락시장","암사","245720","2827","2815","모란","잠실"
"08호선","1","2","2816","815","석촌","054030","2818","2811","가락시장","암사","240520","2827","2815","모란","잠실"
"08호선","1","3","2816","815","석촌","054030","2818","2811","가락시장","암사","240520","2827","2815","모란","잠실"
"08호선","2","1","2816","815","석촌","054050","2811","2827","암사","모란","245840","2811","2818","암사","가락시장"
"08호선","2","2","2816","815","석촌","054040","2811","2827","암사","모란","240040","2811","2818","암사","가락시장"
"08호선","2","3","2816","815","석촌","054040","2811","2827","암사","모란","240040","2811","2818","암사","가락시장"
"08호선","1","1","2817","816","송파","053840","2818","2811","가락시장","암사","245540","2827","2815","모란","잠실"
"08호선","1","2","2817","816","송파","053850","2818","2811","가락시장","암사","240340","2827","2815","모란","잠실"
"08호선","1","3","2817","816","송파","053850","2818","2811","가락시장","암사","240340","2827","2815","모란","잠실"
"08호선","2","1","2817","816","송파","054230","2811","2827","암사","모란","250020","2811","2818","암사","가락시장"
"08호선","2","2","2817","816","송파","054220","2811","2827","암사","모란","240220","2811","2818","암사","가락시장"
"08호선","2","3","2817","816","송파","054220","2811","2827","암사","모란","240220","2811","2818","암사","가락시장"
"08호선","1","1","2818","817","가락시장","053700","2818","2811","가락시장","암사","245400","2827","2815","모란","잠실"
"08호선","1","2","2818","817","가락시장","053700","2818","2811","가락시장","암사","240200","2827","2815","모란","잠실"
"08호선","1","3","2818","817","가락시장","053700","2818","2811","가락시장","암사","240200","2827","2815","모란","잠실"
"08호선","2","1","2818","817","가락시장","052600","2818","2827","가락시장","모란","244410","2811","2827","암사","모란"
"08호선","2","2","2818","817","가락시장","052600","2818","2827","가락시장","모란","234920","2811","2827","암사","모란"
"08호선","2","3","2818","817","가락시장","052600","2818","2827","가락시장","모란","234920","2811","2827","암사","모란"
"08호선","1","1","2819","818","문정","054700","2827","2811","모란","암사","245210","2827","2815","모란","잠실"
"08호선","1","2","2819","818","문정","054710","2827","2811","모란","암사","240010","2827","2815","모란","잠실"
"08호선","1","3","2819","818","문정","054710","2827","2811","모란","암사","240010","2827","2815","모란","잠실"
