"호선","상/하행선","요일","전철역코드","외부코드","전철역명","첫차시간","첫차출발역코드","첫차도착역코드","첫차출발역명","첫차도착역명","막차시간","막차출발역코드","막차도착역코드","막차출발역명","막차도착역명"
"08호선","2","1","2824","824","단대오거리","053950","2818","2827","가락시장","모란","245800","2811","2827","암사","모란"
"05호선","1","2","2515","514","마곡","055230","2527","2511","여의도","방화","240210","2566","2511","하남검단산","방화"
"01호선","1","3","1721","P162","송탄","053400","1728","0158","천안","청량리","240330","1408","1716","신창","병점"
"09호선","1","1","4101","901","개화","053000","4101","4138","개화","중앙보훈병원","244400","4101","4107","개화","가양"
"01호선","2","3","1717","P158","세마","050300","1716","1408","병점","신창","233330","1019","1728","광운대","천안"
"06호선","1","1","2617","616","새절","054610","2626","2611","대흥","응암","243840","2649","2611","신내","응암"
"04호선","2","2","0405","405","진접","053230","0405","0433","진접","사당","233430","0405","0409","진접","당고개"
"01호선","1","2","1018","120","석계","054800","1701","1915","구로","동두천","241830","1812","1019","인천","광운대"
"01호선","2","2","0150","133","서울역","052000","0150","1749","서울역","서동탄","240230","1909","1701","양주","구로"
"07호선","2","3","2746","744","대림","053230","2745","3763","신풍","석남","235610","2712","2752","도봉산","온수"
"07호선","2","2","2732","730","강남구청","053300","2731","3763","청담","석남","235000","2712","2737","도봉산","내방"
"05호선","2","1","2554","553","상일동","055510","2545","2566","군자","하남검단산","243600","2511","2566","방화","하남검단산"
"01호선","2","2","1714","P143","독산","050700","1701","1728","구로","천안","234500","1019","1716","광운대","병점"
"07호선","1","3","3758","756","상동","053900","3763","2712","석남","도봉산","235550","3763","2752","석남","온수"
"01호선","1","2","1906","110","의정부","052430","1019","1916","광운대","소요산","241400","1812","1909","인천","양주"
"07호선","1","3","2745","743","신풍","053430","2745","2711","신풍","장암","234820","3763","2737","석남","내방"
"04호선","1","3","0412","412","창동","060400","0426","0409","서울역","당고개","240130","1762","0411","오이도","노원"
"04호선","1","3","1754","448","상록수","053200","1759","0409","안산","당고개","234500","1762","1458","오이도","금정"
"02호선","2","1","0225","225","방배","053800","0228","0211","서울대입구","성수","244800","0211","0219","성수","삼성"
"01호선","1","3","1713","P155","수원","051100","1716","1019","병점","광운대","234900","1749","1701","서동탄","구로"
"01호선","2","2","1705","P146","관악","051500","1701","1728","구로","천안","235300","1019","1716","광운대","병점"
"02호선","2","3","0204","204","을지로4가","054300","0211","0211","성수","성수","235700","0211","0202","성수","을지로입구"
"01호선","1","3","1823","157","도화","051000","1812","1909","인천","양주","234000","1812","1701","인천","구로"
"04호선","2","3","0420","420","혜화","053900","0419","1762","한성대입구","오이도","234930","0405","0426","진접","서울역"
"01호선","2","2","1721","P162","송탄","051700","1716","1408","병점","신창","234730","1019","1728","광운대","천안"
"05호선","2","3","2515","514","마곡","053840","2511","2566","방화","하남검단산","234140","2511","2518","방화","화곡"
"01호선","1","2","1717","P158","세마","054800","1728","0158","천안","청량리","241730","1408","1716","신창","병점"
"06호선","2","1","2626","625","대흥","054620","2617","2649","새절","신내","245800","2611","2627","응암","공덕"
"02호선","2","1","0245","211-2","신답","053530","0211","0246","성수","신설동","245630","0211","0246","성수","신설동"
"07호선","2","1","2719","717","태릉입구","053200","2719","3763","태릉입구","석남","244120","2711","2729","장암","건대입구"
"05호선","2","1","2514","513","송정","053650","2511","2566","방화","하남검단산","244330","2511","2518","방화","화곡"
"07호선","1","1","2749","747","철산","053730","2752","2711","온수","장암","243300","3763","2737","석남","내방"
"01호선","2","1","1728","P169","천안","052500","1728","1408","천안","신창","235400","0158","1408","청량리","신창"
"01호선","2","3","1018","120","석계","050230","1019","1812","광운대","인천","233430","1909","1701","양주","구로"
"08호선","2","1","2820","819","장지","052910","2818","2827","가락시장","모란","244720","2811","2827","암사","모란"
"06호선","2","3","2614","613","독바위","053200","2614","2648","독바위","봉화산","234720","2611","2617","응암","새절"
"01호선","1","3","0150","133","서울역","052000","1701","1915","구로","동두천","235730","1812","0159","인천","동묘앞"
"01호선","1","1","1810","158","제물포","050800","1812","1909","인천","양주","235100","1812","1701","인천","구로"
"01호선","1","3","1714","P143","독산","054500","1716","1019","병점","광운대","242300","1749","1701","서동탄","구로"
"01호선","2","1","1802","144","오류동","050700","1701","1812","구로","인천","235000","1906","1812","의정부","인천"
"07호선","1","2","2746","744","대림","054350","2752","2712","온수","도봉산","234550","3763","2737","석남","내방"
"01호선","1","1","1704","P145","석수","053930","1716","1019","병점","광운대","241730","1749","1701","서동탄","구로"
"05호선","2","1","2543","542","답십리","054730","2541","2566","왕십리","하남검단산","245510","2511","2545","방화","군자"
"07호선","1","3","2732","730","강남구청","054910","2737","2711","내방","장암","240400","3763","2731","석남","청담"
"02호선","2","1","0208","208","왕십리","053530","0211","0211","성수","성수","245030","0211","0202","성수","을지로입구"
"07호선","2","2","2745","743","신풍","053000","2745","3763","신풍","석남","235340","2712","2752","도봉산","온수"
"01호선","2","3","1906","110","의정부","050900","1906","1812","의정부","인천","240900","1916","1019","소요산","광운대"
"04호선","2","2","1754","448","상록수","055600","1458","1762","금정","오이도","241930","0409","1759","당고개","안산"
"04호선","2","2","0412","412","창동","053200","0411","0433","노원","사당","233100","0405","0426","진접","서울역"
"01호선","2","1","1902","114","도봉","051630","1906","1812","의정부","인천","241930","1916","1019","소요산","광운대"
"07호선","2","2","3758","756","상동","054210","2752","3763","온수","석남","235910","2711","3763","장암","석남"
"02호선","1","2","0204","204","을지로4가","053300","0202","0211","을지로입구","성수","234800","0211","0211","성수","성수"
"04호선","1","2","0420","420","혜화","054530","0426","0409","서울역","당고개","235900","1762","0419","오이도","한성대입구"
"01호선","2","2","1823","157","도화","053700","1701","1812","구로","인천","242000","1916","1812","소요산","인천"
"01호선","2","2","1713","P155","수원","054100","1701","1728","구로","천안","241900","1019","1716","광운대","병점"
"05호선","1","1","2524","523","영등포구청","053530","2527","2511","여의도","방화","243410","2566","2511","하남검단산","방화"
"01호선","1","3","1705","P146","관악","053700","1716","1019","병점","광운대","241500","1749","1701","서동탄","구로"
"07호선","2","1","2750","748","광명사거리","054110","2745","3763","신풍","석남","245520","2712","2752","도봉산","온수"
"01호선","1","1","1809","156","주안","051200","1812","1909","인천","양주","235500","1812","1701","인천","구로"
"07호선","2","1","2741","739","상도","053840","2737","3763","내방","석남","245120","2711","2745","장암","신풍"
"09호선","2","3","4103","903","공항시장","053925","4107","4101","가양","개화","240215","4138","4101","중앙보훈병원","개화"
"04호선","1","3","1761","455","정왕","053300","1762","0409","오이도","당고개","232700","1762","1458","오이도","금정"
"01호선","1","2","1002","134","남영","051700","1701","1915","구로","동두천","235430","1812","0159","인천","동묘앞"
"05호선","2","1","2563","555","미사","055950","2545","2566","군자","하남검단산","244040","2511","2566","방화","하남검단산"
"06호선","2","2","2618","617","증산","053150","2617","2649","새절","신내","234600","2611","2627","응암","공덕"
"03호선","2","2","0320","330","을지로3가","053800","0316","0342","독립문","오금","235530","1958","0323","대화","약수"
"04호선","1","1","0417","417","길음","055100","0426","0405","서울역","진접","244630","0433","0409","사당","당고개"
"09호선","1","1","4104","904","신방화","053845","4101","4138","개화","중앙보훈병원","245245","4101","4107","개화","가양"
"03호선","2","2","0323","333","약수","054300","0316","0342","독립문","오금","234130","1958","0334","대화","도곡"
"07호선","2","3","3755","753","춘의","053650","2752","3763","온수","석남","235350","2711","3763","장암","석남"
"01호선","1","3","1718","P159","오산대","054500","1728","0158","천안","청량리","241430","1408","1716","신창","병점"
"07호선","2","2","2734","732","논현","053630","2731","3763","청담","석남","235330","2712","2737","도봉산","내방"
"01호선","2","3","1806","152","부평","052530","1701","1812","구로","인천","240830","1916","1812","소요산","인천"
"08호선","1","3","2814","813","몽촌토성","053150","2815","2811","잠실","암사","235830","2827","2811","모란","암사"
"09호선","1","1","4120","920","동작","053000","4120","4138","동작","중앙보훈병원","244855","4101","4125","개화","신논현"
"01호선","1","1","1021","117","녹천","050530","1019","1916","광운대","소요산","241300","1812","1906","인천","의정부"
"05호선","2","2","2542","541","마장","054520","2541","2566","왕십리","하남검단산","235910","2511","2545","방화","군자"
"01호선","1","2","1004","136","노량진","051100","1701","1915","구로","동두천","234830","1812","0159","인천","동묘앞"
"02호선","2","1","0232","232","구로디지털단지","053500","0234","0211","신도림","성수","245230","0211","0228","성수","서울대입구"
"04호선","2","1","0421","421","동대문","053930","0419","1762","한성대입구","오이도","245130","0405","0426","진접","서울역"
"03호선","2","3","0326","336","압구정","053000","0326","0342","압구정","오금","234700","1958","0334","대화","도곡"
"09호선","1","3","4114","914","국회의사당","054005","4110","4138","염창","중앙보훈병원","234730","4101","4120","개화","동작"
"05호선","2","2","2518","517","화곡","053000","2518","2566","화곡","하남검단산","233520","2511","2531","방화","애오개"
